            0         1         2         3         4         5         6   \
PC0  -0.155358  0.050912  0.098094  0.082954  0.119460 -0.146051 -0.156477   
PC1  -0.090796 -0.228859 -0.204396 -0.220952 -0.187919 -0.120874 -0.081046   
PC2  -0.076174 -0.002879 -0.050920  0.027540 -0.026417 -0.062307 -0.050507   
PC3  -0.059637  0.178760  0.141150  0.145364  0.102635 -0.063546 -0.046826   
PC4   0.019769  0.032342 -0.029228 -0.002264 -0.041394  0.010344  0.007851   
PC5  -0.060998 -0.050117  0.069239 -0.080204  0.041799 -0.124090 -0.071591   
PC6  -0.061427  0.081763 -0.019389 -0.017867 -0.088064 -0.136644 -0.047841   
PC7   0.014987 -0.123632 -0.005335 -0.122072 -0.000729  0.025866 -0.120876   
PC8  -0.054811 -0.061847 -0.121988 -0.039221 -0.093872 -0.047242  0.053103   
PC9  -0.067388  0.100976  0.079377  0.058096  0.056106 -0.073156  0.007297   
PC10  0.009016 -0.107622 -0.044253 -0.148316 -0.086638 -0.010147 -0.097139   
PC11  0.018882  0.272924  0.277777  0.241150  0.238338 -0.031951 -0.024809   
PC12  0.041395 -0.009098 -0.027235  0.045295  0.021281  0.072115  0.096830   
PC13 -0.014118  0.085221  0.002236  0.078605  0.003349  0.012827 -0.001232   
PC14  0.067607  0.092141 -0.003485  0.004772 -0.042818 -0.027813  0.032214   
PC15 -0.065980 -0.017619  0.085830 -0.003387  0.037067 -0.040548 -0.101446   
PC16  0.010232  0.190405 -0.073526  0.178836 -0.022213  0.019320  0.033037   
PC17  0.101635  0.060635 -0.055766  0.045770 -0.065468  0.047324 -0.079746   
PC18  0.045332 -0.020932  0.131496  0.045326  0.149142  0.052449 -0.028898   
PC19  0.072853  0.059893  0.083088  0.042817  0.097679 -0.018222 -0.025168   
PC20  0.279554 -0.064918  0.059933 -0.056358  0.030271  0.016015 -0.202019   
PC21 -0.022468 -0.165673 -0.143476 -0.206648 -0.132101 -0.103695  0.068549   
PC22 -0.019955  0.040755 -0.041117  0.008311  0.058643 -0.116961  0.178295   
PC23  0.051712 -0.065600  0.050462 -0.025305  0.066125  0.027286  0.041809   
PC24  0.103464  0.102777 -0.014561  0.065287  0.009076  0.013757  0.093818   
PC25  0.106325 -0.030003  0.105158 -0.011343  0.134161  0.073783  0.093580   
PC26  0.192374 -0.033688 -0.042202 -0.088578 -0.056666  0.062021 -0.003433   
PC27  0.046571  0.183006 -0.059845  0.173929 -0.052359  0.038028  0.201990   
PC28  0.019772  0.107417  0.046995  0.126735  0.046807  0.053473 -0.044459   
PC29 -0.055231  0.174570 -0.031366  0.117426  0.010501  0.022555  0.058287   
PC30  0.005040 -0.083892 -0.018475 -0.129821  0.029662 -0.057149 -0.137234   
PC31  0.069075 -0.035777 -0.025317 -0.012938 -0.062587  0.097355 -0.132974   
PC32  0.086340 -0.031948  0.005202 -0.021158  0.056172  0.032988 -0.041959   
PC33 -0.058095 -0.048406  0.071987 -0.017393  0.019654 -0.016655 -0.000393   
PC34  0.135654  0.173968 -0.279170  0.100774 -0.329708  0.011498  0.008982   
PC35 -0.205546 -0.021224 -0.045753  0.063423  0.020149  0.185276  0.119350   
PC36  0.078447  0.144432  0.017417  0.099280 -0.081664 -0.121909 -0.086258   
PC37  0.325941 -0.078113  0.072015 -0.110619  0.054350 -0.095518  0.216247   
PC38 -0.176250 -0.011994 -0.094557  0.052266  0.048835 -0.036719  0.077568   
PC39 -0.072337 -0.120225  0.020881  0.087119  0.036013  0.202501  0.056937   

            7         8         9         10        11        12        13  \
PC0  -0.125965  0.087845 -0.100736 -0.114576 -0.057787 -0.128774 -0.024412   
PC1  -0.076725 -0.118980 -0.063781 -0.052120  0.169149  0.117946  0.166769   
PC2  -0.100875 -0.047650 -0.111279 -0.095176 -0.106272  0.068333 -0.127832   
PC3   0.072664  0.109873  0.101855  0.116470  0.152510  0.143400  0.146752   
PC4   0.080710  0.042936  0.097712  0.057607 -0.113032  0.026100 -0.114694   
PC5   0.051025  0.011268  0.073535  0.076088  0.202723 -0.121134  0.208939   
PC6   0.214182  0.008912  0.267696  0.248472 -0.032528  0.079937 -0.045372   
PC7   0.000673  0.286848  0.003157 -0.037815 -0.019318 -0.048398 -0.049839   
PC8  -0.037566 -0.262123 -0.039236 -0.029217 -0.176045 -0.008320 -0.160202   
PC9   0.053135 -0.071780  0.090417  0.083141 -0.209331 -0.170553 -0.268771   
PC10  0.083734  0.135054  0.095533  0.128149 -0.017156 -0.061248 -0.006088   
PC11  0.053208  0.172899  0.051798  0.054252  0.037342  0.088133  0.026289   
PC12 -0.214018 -0.130805 -0.263314 -0.241084  0.219036  0.172311  0.218427   
PC13  0.023067  0.008196  0.021859  0.003042 -0.058240 -0.083052  0.014797   
PC14  0.276213 -0.028808  0.289438  0.211739  0.060012  0.012353  0.075419   
PC15 -0.073441  0.223658 -0.096324  0.061653 -0.053180  0.057604 -0.078893   
PC16  0.024519 -0.173567  0.036684 -0.104201  0.123490 -0.024839  0.092318   
PC17 -0.020042  0.096772 -0.025209 -0.020845 -0.073202 -0.021511 -0.029093   
PC18 -0.124288  0.014476 -0.181706 -0.114266  0.011346 -0.059639  0.027298   
PC19  0.082708  0.014445  0.040232 -0.082821  0.194213 -0.030126  0.238086   
PC20  0.131643 -0.056196  0.068061  0.131548  0.017019  0.053427 -0.022680   
PC21  0.170563 -0.043801  0.201928  0.058395  0.154220  0.125457  0.206009   
PC22  0.102535 -0.079156  0.149507 -0.234370 -0.122010 -0.043729 -0.190429   
PC23 -0.022550  0.271004 -0.060634 -0.054845 -0.043739  0.112634 -0.090889   
PC24  0.079829  0.001651  0.100920 -0.095639 -0.049216  0.082710  0.002881   
PC25  0.062851  0.163636  0.018683 -0.100233  0.063530  0.011058  0.113238   
PC26  0.046644 -0.297906  0.014957 -0.051577 -0.084780 -0.053432 -0.140174   
PC27 -0.014965 -0.130896  0.025776 -0.032596  0.041761  0.012571  0.000385   
PC28 -0.040013 -0.165301 -0.039864  0.061397  0.052835  0.081726  0.054166   
PC29  0.029974 -0.101435  0.102276 -0.111070 -0.002476  0.096770 -0.006566   
PC30  0.047653  0.289972  0.054176 -0.242894 -0.017050  0.040525 -0.052320   
PC31 -0.084297  0.188980 -0.068684  0.143475  0.091451 -0.095318  0.062258   
PC32  0.116880 -0.124959  0.033252 -0.185307 -0.080057  0.106605 -0.069493   
PC33 -0.112119 -0.017695 -0.059816  0.194163 -0.048488  0.122991 -0.031164   
PC34 -0.007215  0.218472 -0.087208 -0.027003  0.039131 -0.101395  0.021464   
PC35 -0.043156  0.062379  0.064650  0.089453 -0.005850  0.043324 -0.033825   
PC36  0.039191 -0.137382 -0.136791  0.019518  0.003443  0.015989  0.048596   
PC37  0.005842  0.152110 -0.075276 -0.008595 -0.086914  0.073323 -0.118232   
PC38  0.067303 -0.003406  0.148525 -0.230166  0.055710 -0.074989  0.029008   
PC39  0.052422 -0.096646 -0.147474  0.245810  0.032731 -0.120385  0.013449   

            14        15        16        17        18        19        20  \
PC0  -0.117228 -0.156257 -0.110376 -0.163947 -0.084041 -0.155189 -0.163376   
PC1   0.133902 -0.088085 -0.081595  0.026714  0.046708  0.059774  0.029838   
PC2   0.058354 -0.096431 -0.206306 -0.003108  0.147238  0.009315  0.053053   
PC3   0.152710 -0.058211 -0.080523  0.048282  0.091209  0.071700  0.071494   
PC4   0.033428  0.026682 -0.071623 -0.021788  0.137480 -0.021434 -0.009372   
PC5  -0.134240 -0.083198  0.155621  0.042998 -0.292904  0.055663 -0.011809   
PC6   0.079627 -0.067753 -0.101265  0.004953  0.077863  0.023897  0.050532   
PC7  -0.056007  0.038907 -0.044463  0.061607  0.148148  0.080866  0.001538   
PC8   0.004369 -0.066767 -0.051092 -0.113675 -0.047855 -0.118505 -0.062828   
PC9  -0.196061 -0.065333  0.082946  0.057614 -0.171350  0.091643  0.001738   
PC10 -0.066090  0.028334  0.023558 -0.027452 -0.014822 -0.036415 -0.031561   
PC11  0.099214 -0.012789 -0.026049  0.047489  0.021377  0.051011  0.030914   
PC12  0.194155  0.020672  0.025790  0.088043  0.026921  0.091320  0.071566   
PC13 -0.071777  0.017497 -0.025478 -0.184075  0.037756 -0.193160 -0.099951   
PC14  0.028832  0.013129 -0.007469  0.000093  0.002534 -0.032123 -0.056191   
PC15  0.030882 -0.057773 -0.049122  0.045145  0.033889  0.058335  0.122336   
PC16 -0.034991 -0.002854 -0.114419  0.093306  0.169492  0.098656 -0.004703   
PC17 -0.016271  0.049058 -0.138611 -0.097156  0.033991 -0.155319 -0.078085   
PC18 -0.027871  0.024337  0.072379 -0.058074 -0.119945 -0.079895 -0.160743   
PC19 -0.037271 -0.007258  0.009853 -0.001988 -0.098508 -0.042945  0.017588   
PC20  0.040977  0.065609 -0.098486  0.182293 -0.097608  0.123706  0.107263   
PC21  0.176764 -0.009610  0.029441 -0.126953  0.028637 -0.153072 -0.130385   
PC22 -0.044525 -0.063888 -0.053699  0.109989  0.128727  0.123156 -0.047088   
PC23  0.095014 -0.015398  0.017659  0.084545  0.069642  0.140949  0.164400   
PC24  0.120231  0.049831 -0.016986 -0.152366 -0.093929 -0.203765 -0.090534   
PC25  0.050680  0.019891 -0.017073 -0.064723 -0.110715 -0.145856 -0.166695   
PC26 -0.085159  0.067020 -0.009699  0.124599 -0.114402  0.103057  0.044275   
PC27 -0.030749 -0.015488  0.081971  0.178257 -0.084257  0.221714  0.254740   
PC28  0.135916  0.040608  0.008544 -0.085436  0.044135 -0.034305 -0.156073   
PC29  0.145562  0.071742  0.131884 -0.133885 -0.005539 -0.092315 -0.160364   
PC30  0.055687  0.038692  0.099898  0.022035 -0.180731  0.091130  0.022531   
PC31 -0.099203  0.069473 -0.058672  0.079186  0.095070  0.058074 -0.089352   
PC32  0.117582 -0.015124 -0.201045  0.026767 -0.015825  0.010282  0.054200   
PC33  0.122078 -0.046439 -0.080862 -0.025732 -0.033838 -0.023276  0.106823   
PC34 -0.111108 -0.016517  0.072433  0.050861 -0.289988  0.000675 -0.063023   
PC35  0.065788 -0.009991  0.028240  0.014716  0.056672  0.077309 -0.043759   
PC36 -0.024619 -0.063541 -0.167481 -0.079726 -0.063288 -0.183710  0.093823   
PC37  0.104592  0.033777 -0.038562 -0.019847  0.173082 -0.122810 -0.154323   
PC38 -0.032128 -0.010984 -0.037434  0.065770 -0.088175  0.179042 -0.104201   
PC39 -0.179633  0.131103  0.168949 -0.060678  0.130321  0.001725  0.055183   

            21        22        23        24        25        26        27  \
PC0   0.021418  0.119510  0.078844  0.137812 -0.152962 -0.163330 -0.163486   
PC1  -0.218294 -0.176931 -0.225838 -0.150456 -0.102512 -0.067346  0.022108   
PC2   0.108839 -0.054171  0.073802 -0.064876 -0.094633 -0.075251  0.016281   
PC3  -0.018881 -0.060877 -0.037433 -0.063848 -0.062561 -0.034084  0.004907   
PC4   0.137381 -0.011132  0.101365 -0.020006  0.027021  0.000359  0.060896   
PC5  -0.161760  0.141650 -0.159599  0.118192 -0.093245 -0.051137 -0.007216   
PC6   0.104644 -0.055897  0.070524 -0.064587 -0.072862 -0.006163  0.040639   
PC7  -0.030450  0.055661 -0.038068  0.054121  0.039158 -0.089169  0.021110   
PC8   0.032305 -0.078434  0.080346 -0.037469 -0.051439  0.044278 -0.097580   
PC9   0.237405  0.152236  0.140119  0.114319 -0.073973  0.006048  0.150745   
PC10 -0.151482 -0.005689 -0.138419 -0.003136  0.023874 -0.043645  0.003575   
PC11 -0.176996 -0.192421 -0.155625 -0.145761 -0.011263  0.027087 -0.035255   
PC12  0.143145  0.013400  0.076738 -0.014555  0.013135  0.046456  0.095863   
PC13 -0.197191 -0.072724 -0.109333 -0.042270  0.021666 -0.037589 -0.132461   
PC14 -0.101401 -0.080005 -0.087150 -0.050754  0.016051 -0.003963  0.000429   
PC15  0.141296  0.061342  0.080232  0.006431 -0.063567 -0.000181  0.069320   
PC16  0.114718  0.051219  0.092485  0.050000 -0.003077 -0.122468 -0.020857   
PC17 -0.007984 -0.097427  0.037876 -0.072721  0.059531 -0.086189 -0.109725   
PC18 -0.097183 -0.032109 -0.043493  0.026284  0.034126  0.016013 -0.068275   
PC19  0.030404  0.261013  0.009302  0.176593 -0.020368 -0.074125  0.132566   
PC20  0.108786  0.067995  0.116354  0.063134  0.080039 -0.089239 -0.079166   
PC21  0.247598  0.142799  0.276318  0.155751 -0.007702  0.093791 -0.157481   
PC22 -0.075951 -0.121221 -0.128072 -0.076123 -0.067968  0.076298  0.019798   
PC23  0.047112  0.039791  0.071344  0.041743  0.009012  0.066318 -0.200927   
PC24 -0.000956 -0.073074 -0.005331 -0.079281  0.047848  0.017885  0.136134   
PC25  0.135772 -0.012693  0.133259 -0.002564  0.019225  0.058504  0.065214   
PC26 -0.175098  0.103215 -0.174980  0.074932  0.072129 -0.061009  0.028514   
PC27  0.009294  0.032034  0.059280  0.022260  0.013248  0.112006 -0.220520   
PC28  0.060460 -0.038857  0.031883  0.027957  0.032903 -0.015306  0.074000   
PC29  0.010324  0.009010 -0.018392  0.028883  0.060512  0.030049 -0.034974   
PC30  0.087802 -0.209517  0.085751 -0.128359  0.044661 -0.022004  0.008470   
PC31  0.085252 -0.036963  0.075872 -0.013993  0.067397  0.028119  0.000013   
PC32 -0.046374  0.036191 -0.002430  0.038257  0.002504 -0.110365  0.091302   
PC33 -0.033183 -0.045238  0.028579 -0.062633 -0.027674 -0.048196 -0.060609   
PC34  0.113833 -0.186433  0.043096 -0.151700 -0.024314 -0.013441  0.121087   
PC35  0.000222  0.010422  0.038334  0.044987  0.016322 -0.064861 -0.019609   
PC36 -0.041340  0.112349  0.008167  0.019458 -0.094749 -0.096061 -0.021233   
PC37 -0.066766  0.079654 -0.077184  0.041522  0.002937  0.170477  0.069134   
PC38  0.038426 -0.112708  0.011555 -0.025571 -0.019040  0.023524 -0.038058   
PC39  0.008794 -0.083880  0.057550 -0.068323  0.137419  0.177508  0.004364   

            28        29        30        31        32        33        34  \
PC0   0.101784 -0.149747 -0.160523  0.108255  0.130637  0.150128  0.155441   
